STATE,STATE NAME,STATE OF REOPENING,NEW GATING SCORE,GATING SCORE COLOR,GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,Rt**,SCORE,NORMALIZED,PROGRESS ON INTERVENTIONS,GRADE,CURVE,CURVED GRADE,TOTAL TESTS,% OF TESTING TARGET*,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,TOTAL DEATHS,MISSING ACTIONS,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TEST CAPACITY (7-DAY AVG),TESTS-T-14,TESTS-T-13,TESTS-T-12,TESTS-T-11,TESTS-T-10,TESTS-T-09,TESTS-T-08,TESTS-T-07,TESTS-T-06,TESTS-T-05,TESTS-T-04,TESTS-T-03,TESTS-T-02,TESTS-T-01,TESTS-T-0,% OF TEST TARGET,% OF TARGET (US: 4M/DAY),GATING CRITERIA TESTS,% POSITIVE (7-DAY AVG),POSITIVITY IS,CASE-DOUBLING-DAYS,POSITIVITY-13,POSITIVITY-12,POSITIVITY-11,POSITIVITY-10,POSITIVITY-09,POSITIVITY-08,POSITIVITY-07,POSITIVITY-06,POSITIVITY-05,POSITIVITY-04,POSITIVITY-03,POSITIVITY-02,POSITIVITY-01,POSITIVITY-00,POSITIVITY,POSITIVITY-GRADE,% OF ICU,ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR,COVID+ RATE IS
Alabama,Alabama,N/A,Bruised Red,Red,3,Increasing,68% ^Increasing^,68%,129,82,53,53%,F,75,C,502020,116%,51947,618,651,731,764,784,760,766,756,707,629,597,598,679,714,740,791,774,960,993,985,986,1097,1111,1216,1100,1106,1143,1295,1235,1298,1114,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,8562,6358,5943,6312,7516,7885,7181,7473,8295,9087,8829,7816,7763,7254,8798,8562,116%,14%,Green,16.50%,15.2% ^Increasing^,25,13.03%,15.21%,13.21%,12.50%,13.74%,14.69%,13.40%,13.38%,12.46%,14.15%,14.72%,17.85%,14.03%,15.16%,15.16%,Bruised Red,80,80% ^Constrained^,Constrained,75% ^Elevated^,Elevated,0.8 - 1.2,25,11,13,12,12,13,14,13,13,11,12,12,12,14,15,265,Bruised Red,218,134,146,158,163,172,166,163,180,207,219,226,229,241,218,63% ^Increasing^,Red,2.14%,Yellow,15.2% ^Increasing^
Alaska,Alaska,N/A,Yellow,Red,2,Increasing,114% ^Increasing^,114%,129,107,69,69%,D,98,A,143376,268%,1385,14,17,17,14,15,15,14,14,13,13,14,15,14,15,16,16,18,20,23,27,29,32,37,36,33,35,35,36,37,39,17,Improve COVID case information being reported on state website. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,2949,2666,2893,2555,2748,2615,2351,2631,2450,2208,2149,2748,2714,2834,3103,2949,268%,33%,Green,1.70%,1.3% ^Increasing^,22,0.63%,0.80%,0.84%,1.02%,1.22%,1.23%,1.50%,1.65%,1.56%,1.27%,1.31%,1.29%,1.20%,1.33%,1.33%,Green,56,56% ^Normal^,Normal,55% ^Normal^,Normal,0.9 - 1.4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Yellow,42,16,22,25,27,25,34,31,26,26,34,41,38,41,42,158% ^Increasing^,Red,1.23%,Yellow,1.3% ^Increasing^
Arizona,Arizona,N/A,Bruised Red,Red,3,Increasing,18% ^Increasing^,18%,136,92,60,60%,F,84,B,683990,123%,119930,1227,1287,1257,1290,1543,1582,1740,1967,2191,2386,2554,2726,2721,2798,2837,2893,3074,2850,3005,3445,3485,3616,3500,3454,3844,3697,3503,3607,3576,3625,2151,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,13497,12781,12879,11662,13120,14344,13806,14080,13537,13495,15203,13777,13068,13175,12976,13497,123%,15%,Green,27.40%,26.9% ^Increasing^,20,23.87%,24.43%,22.91%,24.02%,25.24%,25.68%,25.86%,25.60%,25.29%,26.83%,26.81%,27.38%,27.56%,26.86%,26.86%,Bruised Red,81,81% ^Constrained^,Constrained,79% ^Elevated^,Elevated,0.8 - 1.3,20,36,35,35,37,38,36,32,32,32,42,35,40,42,49,498,Bruised Red,479,370,374,384,395,404,414,428,437,441,461,470,472,472,479,30% ^Increasing^,Red,1.79%,Yellow,26.9% ^Increasing^
Arkansas,Arkansas,N/A,Bruised Red,Red,3,Decreasing,-14% ^Decreasing^,-14%,130,42,27,27%,F,39,F,369649,97%,26803,414,349,439,454,444,463,445,441,514,377,452,498,538,591,490,514,595,596,586,546,573,651,638,557,571,534,474,568,597,513,313,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,4394,5962,6998,6600,6673,6142,6658,7694,7847,6810,6062,5636,5488,5811,4882,4394,97%,12%,Yellow,11.60%,11.7% ^Increasing^,34,8.51%,9.04%,8.78%,8.89%,8.61%,8.47%,8.14%,8.18%,9.42%,9.47%,8.63%,9.78%,12.23%,11.69%,11.69%,Bruised Red,68,68% ^Normal^,Normal,59% ^Normal^,Normal,0.8 - 1.2,34,5,5,5,5,6,6,5,4,4,3,3,4,5,4,170,Bruised Red,133,92,99,96,91,90,94,94,94,112,122,119,131,133,133,45% ^Increasing^,Red,1.17%,Yellow,11.7% ^Increasing^
California,California ??,N/A,Bruised Red,Red,3,Increasing,54% ^Increasing^,54%,136,97,63,63%,D,89,B,5275695,173%,312344,2726,2804,2863,2876,2867,2975,3117,3348,3381,3567,3800,4216,4744,4925,5006,5303,5346,5499,5692,6062,6375,6825,6902,6987,7876,7837,8116,8043,8009,8228,6945,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,103238,89700,90957,92858,95744,94468,92053,96695,98674,103455,104523,104176,106000,105674,103937,103238,173%,22%,Green,7.90%,8.0% ^Increasing^,24,5.88%,5.92%,5.95%,6.42%,6.93%,7.06%,6.99%,6.75%,7.54%,7.52%,7.66%,7.61%,7.71%,7.97%,7.97%,Red,66,66% ^Normal^,Normal,64% ^Normal^,Normal,0.9 - 1.4,24,59,60,57,65,61,64,63,61,57,67,67,78,84,90,208,Bruised Red,200,151,156,164,167,172,178,179,181,184,190,195,198,200,200,33% ^Increasing^,Red,2.22%,Yellow,8.0% ^Increasing^
Colorado,Colorado ??,N/A,Yellow,Red,2,Increasing,54% ^Increasing^,54%,136,93,60,60%,D,85,B,385861,66%,36191,184,172,167,161,159,156,168,179,195,190,201,201,207,212,225,230,239,253,258,260,268,268,260,263,251,249,278,298,310,367,1586,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,5730,4931,5046,5256,5140,5238,5313,5388,5453,5287,5156,5255,5367,5350,5264,5730,66%,8%,Yellow,7.40%,6.4% ^Increasing^,66,4.74%,4.81%,5.02%,4.97%,5.04%,4.97%,4.78%,4.98%,4.87%,4.75%,5.19%,5.57%,5.90%,6.41%,6.41%,Yellow,61,61% ^Normal^,Normal,55% ^Normal^,Normal,0.9 - 1.4,66,8,8,10,9,9,7,6,6,6,5,3,3,9,9,64,Yellow,57,41,41,47,41,45,47,47,49,50,57,58,58,55,57,40% ^Increasing^,Red,4.38%,Yellow,6.4% ^Increasing^
Connecticut,Connecticut ??,N/A,Green,Green,0,Flat,4% ^Flat^,4%,134,87,56,56%,F,80,B,558209,156%,47287,176,168,160,163,167,155,140,124,103,95,78,79,69,79,72,70,78,83,88,94,93,94,73,59,88,74,77,80,81,81,4348,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,8363,5641,6398,7003,9149,10784,11466,11830,10017,8721,11341,9102,8515,8059,8363,8363,156%,19%,Green,0.70%,1.0% ^Decreasing^,400,1.22%,1.18%,0.96%,0.87%,0.81%,0.79%,0.73%,0.68%,0.77%,0.81%,0.90%,1.00%,0.97%,0.97%,0.97%,Green,50,50% ^Normal^,Normal,70% ^Normal^,Normal,0.7 - 1.1,400,8,8,6,5,4,4,3,3,3,2,3,3,2,2,23,Green,22,29,28,27,28,28,27,27,27,19,23,25,25,22,22,-25% ^Decreasing^,Green,9.19%,Red,1.0% ^Decreasing^
Delaware,Delaware ??,N/A,Red,Red,2,Increasing,66% ^Increasing^,66%,131,91,59,59%,F,83,B,134115,131%,12743,57,55,46,53,55,55,56,63,65,73,69,63,64,69,58,59,64,79,90,89,107,129,129,129,131,134,136,114,104,107,517,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1917,1692,1625,1887,1906,1883,1989,2320,2347,2514,2464,2543,2521,2184,2052,1917,131%,16%,Green,4.70%,5.6% ^Increasing^,80,3.97%,4.21%,4.70%,4.71%,5.39%,5.58%,5.51%,5.13%,5.32%,5.28%,5.39%,5.23%,5.07%,5.57%,5.57%,Yellow,67,67% ^Normal^,Normal,71% ^Elevated^,Elevated,0.9 - 1.4,80,0,0,1,1,0,1,1,1,1,1,1,1,1,1,110,Red,67,80,74,66,70,69,59,55,54,55,58,59,65,60,67,-17% ^Decreasing^,Green,4.06%,Yellow,5.6% ^Increasing^
District of Columbia,District of Columbia ??,N/A,Yellow,Red,2,Increasing,55% ^Increasing^,55%,134,89,58,58%,F,82,B,124050,262%,10801,65,63,62,59,49,44,45,43,39,36,37,39,40,37,33,33,33,33,33,34,33,36,33,33,32,35,40,41,44,51,568,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces.,Minimal ^Level 1^,Green,2785,1617,1944,1908,1999,2266,2047,2098,2183,1837,1756,1869,2036,2123,2582,2785,262%,33%,Green,2.00%,1.8% ^Increasing^,146,1.68%,1.75%,1.67%,1.49%,1.61%,1.70%,1.51%,1.82%,1.81%,1.85%,1.94%,1.94%,1.70%,1.82%,1.82%,Green,73,73% ^Elevated^,Elevated,72% ^Elevated^,Elevated,0.7 - 1.1,146,2,2,2,2,2,1,1,1,1,1,2,2,2,2,72,Yellow,130,179,171,179,169,170,156,135,123,125,128,122,130,136,130,-27% ^Decreasing^,Green,5.26%,Red,1.8% ^Increasing^
Florida,Florida,N/A,Bruised Red,Red,3,Increasing,47% ^Increasing^,47%,137,92,60,60%,F,84,B,2475299,145%,254511,1355,1542,1661,1775,2016,2193,2408,2682,2892,3103,3270,3342,3756,4013,4745,5535,6255,6589,6990,7140,7870,7948,8215,8434,8587,8766,9255,9087,9365,9208,4301,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Low ^Level 4^,Green,46972,38322,40372,42179,43463,44573,44506,44639,45282,45472,45885,46314,48550,46459,48610,46972,145%,18%,Green,20.50%,19.6% ^Increasing^,17,15.49%,15.62%,16.08%,16.02%,17.68%,17.80%,18.14%,18.55%,18.71%,18.93%,19.06%,19.56%,19.27%,19.60%,19.60%,Bruised Red,71,71% ^Elevated^,Elevated,75% ^Elevated^,Elevated,0.9 - 1.3,17,38,40,39,39,42,46,45,45,48,48,49,56,60,71,429,Bruised Red,335,,,,,,,,,,,,,325,335,------ ^Not enough data^,Red,1.69%,Yellow,19.6% ^Increasing^
Georgia,Georgia,N/A,Bruised Red,Red,3,Increasing,69% ^Increasing^,69%,135,77,50,50%,F,71,C,1064873,124%,114401,737,785,826,845,833,864,848,889,1001,1003,1073,1229,1336,1455,1569,1597,1787,1927,1945,2122,2373,2500,2619,2615,2521,2740,2808,2717,2960,3012,2996,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 3^,Green,19788,13633,15519,16442,14660,15972,17902,18598,19507,20321,19405,20796,20767,19455,20733,19788,124%,15%,Green,17.50%,15.2% ^Increasing^,24,11.52%,11.72%,13.27%,13.29%,13.26%,13.44%,13.43%,12.87%,12.99%,13.17%,13.52%,13.97%,14.28%,15.22%,15.22%,Bruised Red,82,82% ^Constrained^,Constrained,71% ^Elevated^,Elevated,0.9 - 1.3,24,19,19,17,18,15,12,12,12,13,13,14,12,16,20,284,Bruised Red,230,116,128,137,148,155,157,163,170,185,197,209,219,230,230,98% ^Increasing^,Red,2.62%,Yellow,15.2% ^Increasing^
Hawaii,Hawaii,N/A,Yellow,Yellow,1,Increasing,165% ^Increasing^,165%,133,88,57,57%,F,81,B,92234,59%,1158,5,6,7,8,9,8,8,10,12,11,12,11,11,13,13,11,10,12,12,14,13,14,16,18,18,19,22,24,26,26,19,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1251,1081,1088,1206,1200,1217,1194,1230,1311,1264,1129,1133,1148,1266,1282,1251,59%,7%,Yellow,2.20%,2.1% ^Increasing^,28,0.91%,1.01%,1.00%,1.15%,1.09%,1.11%,1.19%,1.44%,1.57%,1.64%,1.92%,1.90%,2.05%,2.09%,2.09%,Green,70,70% ^Elevated^,Elevated,71% ^Elevated^,Elevated,1.0 - 1.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Green,State not reporting,,,,,,,,,,,,,,0,------ ^Not enough data^,Red,1.64%,Yellow,2.1% ^Increasing^
Idaho,Idaho,N/A,Bruised Red,Red,3,Increasing,123% ^Increasing^,123%,128,107,69,69%,D,98,A,122349,113%,9928,35,35,37,37,39,46,53,63,74,87,87,113,123,145,160,182,188,188,214,245,246,247,264,293,345,329,346,371,405,419,101,Improve COVID case information being reported on state website. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 2^,Green,3040,1837,1911,1911,1877,1886,2083,2334,2430,2560,2874,2748,2899,2786,2767,3040,113%,14%,Green,14.40%,13.8% ^Increasing^,14,9.82%,9.82%,11.40%,12.99%,11.83%,10.58%,10.85%,11.44%,12.00%,11.96%,11.94%,13.33%,14.64%,13.79%,13.79%,Bruised Red,49,49% ^Normal^,Normal,49% ^Normal^,Normal,1.0 - 1.5,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,235,Bruised Red,48,24,24,24,24,24,24,42,42,42,28,28,51,51,48,105% ^Increasing^,Red,1.02%,Yellow,13.8% ^Increasing^
Illinois,Illinois ??,N/A,Yellow,Red,2,Increasing,27% ^Increasing^,27%,137,97,63,63%,D,89,B,1945220,157%,154094,878,835,807,677,652,641,616,630,625,623,621,618,642,685,696,718,716,756,773,789,786,790,801,800,782,762,784,805,861,909,7369,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,29947,26325,26321,27564,29073,29610,29406,29965,30479,30971,30145,29563,29513,30358,30160,29947,157%,20%,Green,3.40%,3.0% ^Increasing^,115,2.72%,2.74%,2.66%,2.67%,2.67%,2.64%,2.63%,2.58%,2.59%,2.58%,2.66%,2.65%,2.85%,3.03%,3.03%,Yellow,55,55% ^Normal^,Normal,62% ^Normal^,Normal,0.9 - 1.3,115,34,33,30,25,25,24,21,20,19,21,22,20,19,21,72,Yellow,110,116,118,123,119,130,106,106,105,110,109,109,119,113,110,-5% ^Decreasing^,Green,4.78%,Yellow,3.0% ^Increasing^
Indiana,Indiana,N/A,Red,Red,2,Increasing,45% ^Increasing^,45%,134,93,60,60%,D,85,B,558146,65%,51079,367,364,359,401,393,382,384,371,360,359,315,298,304,317,342,359,358,371,389,402,390,396,408,440,443,433,444,455,484,521,2756,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,6551,8745,8374,8229,8260,8262,7512,7180,7039,7312,7153,6554,6592,6494,6630,6551,65%,8%,Yellow,8.40%,8.0% ^Increasing^,66,4.28%,4.50%,4.71%,4.86%,5.20%,5.52%,5.80%,6.01%,6.20%,6.61%,6.74%,7.01%,7.29%,7.95%,7.95%,Red,66,66% ^Normal^,Normal,62% ^Normal^,Normal,1.0 - 1.5,66,11,10,10,10,11,12,10,11,11,11,12,11,10,10,77,Yellow,106,92,93,103,99,96,94,94,94,91,97,99,102,99,106,16% ^Increasing^,Red,5.40%,Red,8.0% ^Increasing^
